A,N-Z,N,Z,Element,O,ME [keV],Error ME [keV],BINDING ENERGY/A [keV],Error BINDING ENERGY/A [keV],ATOMIC MASS [µu],Error ATOMIC MASS [µu],Extrapolated?
107,25,66,41,Nb,   x,-63723.81000,8.02300,8367.08900,0.07500,106931589.67200,8.61200,False
107,23,65,42,Mo,   x,-72551.56000,9.23300,8442.28000,0.08600,106922112.69200,9.91200,False
107,21,64,43,Tc,   x,-78749.91400,8.67300,8492.89700,0.08100,106915458.48500,9.31000,False
107,19,63,44,Ru, -nn,-83862.51200,8.67300,8533.36600,0.08100,106909969.88500,9.31000,False
107,17,62,45,Rh,  +p,-86863.70300,12.05100,8554.10300,0.11300,106906747.97400,12.93700,False
107,15,61,46,Pd,    ,-88372.63900,1.20100,8560.89400,0.01100,106905128.06400,1.28900,False
107,13,60,47,Ag,    ,-88406.67000,2.38200,8553.90000,0.02200,106905091.53100,2.55700,False
107,11,59,48,Cd,    ,-86990.26100,1.66500,8533.35100,0.01600,106906612.10800,1.78700,False
107,9,58,49,In,   -,-83564.26100,11.12500,8494.02100,0.10400,106910290.07100,11.94300,False
107,7,57,50,Sn,   x,-78512.22800,5.31000,8439.49400,0.05000,106915713.65100,5.70000,False
107,5,56,51,Sb,    ,-70653.23900,4.14800,8358.73400,0.03900,106924150.62400,4.45200,False
107,3,55,52,Te,  -a,-60539.32600,70.83000,8256.89900,0.66200,106935008.35600,76.03900,False
107,1,54,53,I,   x,-49430.00000,300.00000,8146.00000,3.00000,106946935.00000,322.00000,True
108,30,69,39,Y,   x,-37297.00000,596.00000,8134.00000,6.00000,107959960.00000,640.00000,True
108,28,68,40,Zr,   x,-51353.00000,401.00000,8257.00000,4.00000,107944870.00000,430.00000,True
108,26,67,41,Nb,   x,-59545.76500,8.23700,8325.66500,0.07600,107936074.98800,8.84200,False
108,24,66,42,Mo,   x,-70755.94200,9.23300,8422.21900,0.08500,107924040.36700,9.91200,False
108,22,65,43,Tc,   x,-75922.77800,8.76900,8462.81600,0.08100,107918493.54100,9.41300,False
108,20,64,44,Ru, -3n,-83661.35000,8.68000,8527.22500,0.08000,107910185.84100,9.31800,False
108,18,63,45,Rh,   x,-85031.72100,13.99600,8532.67000,0.13000,107908714.68800,15.02400,False
108,16,62,46,Pd,    ,-89524.20600,1.10800,8567.02300,0.01000,107903891.80500,1.18900,False
108,14,61,47,Ag,  -n,-87606.76300,2.38800,8542.02500,0.02200,107905950.26600,2.56300,False
108,12,60,48,Cd,    ,-89252.41400,1.12300,8550.01900,0.01000,107904183.58700,1.20500,False
108,10,59,49,In,    ,-84119.81900,8.64100,8495.25100,0.08000,107909693.65500,9.27600,False
108,8,58,50,Sn,    ,-82069.93800,5.38200,8469.02700,0.05000,107911894.29200,5.77800,False
108,6,57,51,Sb,   x,-72445.33100,5.49600,8372.66600,0.05100,107922226.73400,5.90000,False
108,4,56,52,Te,    ,-65781.66700,5.41100,8303.72100,0.05000,107929380.47100,5.80800,False
108,2,55,53,I,  -a,-52649.60500,132.26000,8174.88400,1.22500,107943478.32100,141.98600,False
109,31,70,39,Y,   x,-33200.00000,700.00000,8096.00000,6.00000,108964358.00000,751.00000,True
109,29,69,40,Zr,   x,-46193.00000,503.00000,8208.00000,5.00000,108950410.00000,540.00000,True
109,27,68,41,Nb,   x,-56689.79400,258.49000,8297.13000,2.37100,108939141.00000,277.50000,False
